method_config	method_name	snapshot	entity
Tumor_Only_Mutect_CNV	Tumor_Only_Mutect_CNV	12	sample
AggregateCoverageStats	AggregateCoverageStats	4	sample_set
CalculateTargetCoverage	CalculateTargetCoverage	15	sample
CallSomaticCNV	CallSomaticCNV	12	sample
CreatePoNForCNV	CreatePanelOfNormalsGATK	8	sample_set
CreatePoNForSNV	CreatePoN	24	sample_set
CreatePoNSNV_Mutect1	CreatePoNSNV_Mutect1	1	sample_set
DepthOfCov	DepthOfCov	9	sample
DepthOfCovQC	DepthOfCovQC	3	sample
FilterGermlineIndels_Normal	FilterGermlineVariants_TMP	2	sample
FilterGermlineIndels_Tumor	FilterGermlineVariants_TMP	2	pair
FilterGermlineVariants	FilterGermlineVariants	32	pair
FilterGermlineVariants_Normal	FilterGermlineVariants	35	sample
FilterGermlineVariants_Tumor	FilterGermlineVariants	36	pair
IndelsPostProcessing	SNVPostProcessing	2	pair_set
IndelsPostProcessing_Normal	SNVPostProcessing	2	sample_set
Mutect1_Normal	Mutect1_Normal	15	sample
Mutect1_Tumor	Mutect1_Tumor	12	pair
Mutect2_v2.0_Normal_Only	Mutect2_v2.0	13	sample
Mutect2_v2.0_Tumor_Normal	Mutect2_v2.0	13	pair
Oncotator_v2.0	Oncotator_v2.0	1	pair
Oncotator_v2.0_Normal	Oncotator_v2.0	1	sample
Oncotator_v2.0_Normal_Mutect1	Oncotator_v2.0	1	sample
Oncotator_v2.0_Tumor_Mutect1	Oncotator_v2.0	1	pair
PlotSomaticCNVMaps	PlotSomaticCNVMaps	13	sample_set
RenameBAM	RenameBAM	3	sample
SNVPostProcessing	SNVPostProcessing	2	pair_set
SNVPostProcessing_Normals	SNVPostProcessing	2	sample_set
SomaticSNVCalls	SomaticSNVCalls	1	sample
